Instancia,Tempo medio,Custo medio
a280,67.577,2579
ali535,1455.594,202398.250
att48,0.226,10628
bayg29,0.034,1610
bays29,0.037,2020
berlin52,0.279,7542
bier127,8.189,118282
brazil58,0.336,25395
brg180,8.673,1950
burma14,0.003,3323
ch130,7.722,6110
ch150,6.944,6528
d198,23.460,15780
d493,989.414,35020.750
dantzig42,0.117,699
eil101,3.205,629
eil51,0.284,426
eil76,1.119,538
fl417,291.273,11861
fri26,0.024,937
gil262,75.224,2378
gr120,6.605,6942
gr17,0.006,2085
gr202,25.409,40160
gr21,0.011,2707
gr229,43.789,134602
gr24,0.017,1272
gr431,558.775,171516
gr48,0.211,5046
gr96,2.334,55209
hk48,0.244,11461
kroA150,8.474,26524
kroA200,23.771,29368
kroB100,2.697,22141
kroB150,7.655,26130
kroB200,28.290,29438
kroC100,2.648,10749
kroD100,2.963,21294
kroE100,2.772,22068
lin105,3.098,14379
lin318,142.264,42029
linhp318,143.160,42029
pcb442,510.161,50811
pr107,3.204,44303
pr124,4.635,59030
pr136,9.066,96772
pr144,7.381,58537
pr152,6.063,73682
pr226,28.529,80369
pr264,49.741,49135
pr299,101.103,48191
pr76,0.977,108159
rat195,19.757,2323
rat99,2.765,1211
rd100,2.921,7910
rd400,467.610,15290
si175,11.578,21407
si535,687.85,48462.25
st70,0.742,675
swiss42,0.116,1273
ts225,20.433,126643
tsp225,35.552,3916
u159,7.854,42080
ulysses16,0.005,6859
ulysses22,0.012,7013
